Name,order,date_added,Link,lever_type,Goal,Requirements,Incentives,more_info,target_system,affiliated_organizations,image_name,image_source
Open Assistant,1,"March 21, 2023",https://open-assistant.io/,add,Provide feedback for language models,Active ⚒️,Support commons,,Language models,Open,openassistant_screenshot.png,
BigCode Opt-out,1,"March 15, 2023",https://github.com/bigcode-project/opt-out-v2,remove,Opt-out GitHub code AI training,Remove data 🔒,Opt-out,,Language models,BigCode,bigcode_screenshot.png,
Spawning,2,"March 22, 2023",https://spawning.ai/,remove,Opt-out art from generative AI training,Remove data 🔒,Opt-out,,AI art,,haveibeentrained.png,
Mozilla Rally,2,"March 21, 2023",https://rally.mozilla.org/,add,Browser extension to capture research data,Passive 🌱,Support commons,,Research,Mozilla,rally_screenshot.png,
UChicago SAND Lab’s “Glaze”,3,"March 21, 2023",https://glaze.cs.uchicago.edu/,remove,Alter art to prevent style transfer,Alter data 🔥,Protect your output,Can be useful for legal defense,AI art,,glaze_screenshot.png,
OpenAI Evals Library,3,"March 21, 2023",https://github.com/openai/evals,add,Evaluate language models,Active ⚒️,Earn GPT-4 access,,Language models,OpenAI,evals_screenshot.png,
UChicago SAND Lab’s “Fawkes”,4,"May 12, 2023",https://sandlab.cs.uchicago.edu/fawkes/,remove,Alter photos to prevent facial recognition,Alter data 🔥,Protect your privacy,,Facial recognition,,fawkes_screenshot.png,
Twitter Community Notes,4,"March 21, 2023",https://help.twitter.com/en/using-twitter/community-notes,add,Add context to Tweets,Active ⚒️,Support commons,,Social Media,Twitter,communitynotes.png,
Consumer Reports Permission Slip,5,"March 21, 2023",https://www.permissionslipcr.com/,remove,App to make data deletion requests,Remove data 🔒,Protect your privacy,,Consumer data,,cr_permissionslip_screenshot.png,
EFF’s Privacy Badger,6,"March 22, 2023",https://privacybadger.org/,remove,Browser extension to algorithmically block tracking,Block data creation🦫,Protect your privacy,,Web Browsing,,privacybadger_screenshot.png,
Ghostery Privacy Suite,7,"March 23, 2023",https://www.ghostery.com/,remove,Suite of tools to block trackers,Block data creation🦫,Protect your privacy,,Web Browsing,,ghostery_screenshot.png,
DuckDuckGo App,8,"March 23, 2023",https://duckduckgo.com/app,remove,Browsing and search privacy,Block data creation🦫,Protect your privacy,,Web Browsing,,ddg_screenshot.png,
Using Your Favorite App!,9,"March 22, 2023",,add,When you use your favorite app — whether it’s ChatGPT or Youtube —  you contribute data,Active ⚒️,All kinds of incentives,,All types of data,,pexels-photo-9454915.jpeg,
,,,,,,,,,,,,